BertzCT,Chi1,Chi1v,HallKierAlpha,HeavyAtomMolWt,LabuteASA,MinEStateIndex,MolMR,MolWt,SMR_VSA5,TPSA,VSA_EState8,fr_benzene,NumAromaticCarbocycles
0.000577141389337,4.102548136959739e-13,1.939303435347873e-05,0.988006921949614,4.421800488870097e-09,4.455889453834142e-06,0.7384911742464637,3.427375517279068e-07,1.2328466891639462e-08,0.1336430457968725,0.0061713830879982,0.3998206332276736,0.0347299284428997,0.034722888829228
0.000577141389337,6.406755566777712e-06,0.0002705950297145,0.988006921949614,1.522133280979251e-06,7.903845214673943e-06,0.9178872573678294,3.039912485470756e-05,2.908066518294439e-06,0.4199776177532735,0.0061713830879982,0.8860195563265374,0.0347299284428997,0.034722888829228
0.0005971015811771,3.054201754697504e-05,0.0006009131292619,0.988006921949614,7.595835325723053e-06,3.41314642335567e-05,0.9210545680453304,0.0001177464087193,1.3869532100698405e-05,0.5434930206668329,0.0061713830879982,0.8890069929456339,0.0347299284428997,0.034722888829228
0.0006545563676388,0.0001022693627188,0.0012618362388103,0.988006921949614,2.678791735228184e-05,0.0001101206600205,0.9221073123162924,0.0003489054020566,4.773318219841094e-05,0.6438163830505114,0.0061713830879982,0.8906223022075568,0.0347299284428997,0.034722888829228
0.0007050631736358,0.0002741092128412,0.0025200653722525,0.988006921949614,7.55481640150461e-05,0.0002924954642006,0.922585322567836,0.0008641745857112,0.0001327247298136,0.7227902196982438,0.0061713830879982,0.8916326066922386,0.0347299284428997,0.034722888829228
0.0007928961472544,0.0006302858082397,0.0048072854501385,0.988006921949614,0.0001822718129598,0.0006759988123141,0.9228425797615044,0.0018821066401862,0.0003175024443646,0.7840327404733936,0.0061713830879982,0.8923237157299306,0.0347299284428997,0.034722888829228
0.0008703350944628,0.0012956282509368,0.0087855733316864,0.988006921949614,0.0003918935200591,0.0014071661393017,0.9229968892513172,0.0037203649239989,0.0006791238221993,0.8312304285797515,0.0061713830879982,0.8928260912487754,0.0347299284428997,0.034722888829228
0.0009918561424799,0.0024447884860713,0.0154113781854213,0.988006921949614,0.000771129085229,0.0026994536514223,0.9230967186169912,0.0068162324793062,0.0013321669453744,0.8675576580484562,0.0061713830879982,0.8932076846985344,0.0347299284428997,0.034722888829228
0.0011003086274728,0.0043113878502793,0.0259728511780342,0.988006921949614,0.0014142827979925,0.0048490225720887,0.9231650147827648,0.0117442202493404,0.002438797617599,0.8955623691067958,0.0061713830879982,0.8935073463590941,0.0347299284428997,0.034722888829228
0.0012638260212477,0.0071964424685184,0.0420607590970303,0.988006921949614,0.0024494762664879,0.0082497339408077,0.923213793707094,0.0192264593279129,0.0042193835198836,0.9172217011040652,0.0061713830879982,0.8937488883538915,0.0347299284428997,0.034722888829228
0.0014114964603248,0.0114750176215712,0.0654268497973959,0.988006921949614,0.0040450516938654,0.0134049350570298,0.9232498455234944,0.0301292084484762,0.0069629444171105,0.9340444150670448,0.0061713830879982,0.8939477151949791,0.0347299284428997,0.034722888829228
0.0016265742400767,0.0175995101115195,0.0977007922980954,0.988006921949614,0.0064157450731661,0.0209323142353497,0.9232772436691616,0.0454362811169489,0.011036255222361,0.9471730350831706,0.0061713830879982,0.8941142318861279,0.0347299284428997,0.034722888829228
0.0021044035845299,0.0375596979023202,0.1924641440935998,0.988006921949614,0.0146035035168628,0.0460837811632834,0.9233154523284266,0.0933807794046397,0.025057690428725,0.9655891519624742,0.0061713830879982,0.8943774238184671,0.0347299284428997,0.034722888829228
0.0027263472289267,0.0719105398345757,0.3226583879224535,0.988006921949614,0.0298053462626007,0.0901409588946585,0.9233402312538286,0.1699069046632274,0.0508237892203659,0.9771473200586156,0.0061713830879982,0.8945760410920218,0.0347299284428997,0.034722888829228
0.0030640740669581,0.0960163015942648,0.3951297604167929,0.988006921949614,0.0411301397700347,0.121083831092059,0.9233494700296372,0.219535614958981,0.0697554660599138,0.9812491800091696,0.0061713830879982,0.8946581298044111,0.0347299284428997,0.034722888829228
0.0035311205378687,0.1253944523437366,0.4681939026290513,0.988006921949614,0.0555848767925667,0.158521365369287,0.9233572105320936,0.275895042041002,0.0935691796339095,0.9845483574256458,0.0061713830879982,0.8947312470740639,0.0347299284428997,0.034722888829228
0.0039643556501391,0.160297562513856,0.5388278818633896,0.988006921949614,0.0736522547484405,0.2023929367530564,0.9233637601214326,0.3375002027107973,0.1227649891019325,0.9872143149399186,0.0061713830879982,0.8947967871229832,0.0347299284428997,0.034722888829228
0.0006252621025983,1.819548971379617e-05,0.0004524237627235,0.988006921949614,7.595835325723053e-06,3.413146423355664e-05,0.8921222984227555,0.0001156188789321,1.3869532100698405e-05,0.4304559440535265,0.0061713830879982,0.9265975216307708,0.0347299284428997,0.034722888829228
0.0007282386871703,7.415535711800365e-05,0.0010243360637537,0.988006921949614,2.678791735228184e-05,0.0001101206600205,0.8960768979742484,0.0003437217836407,4.773318219841094e-05,0.5521859434958102,0.0061713830879982,0.9282438107338726,0.0347299284428997,0.034722888829228
0.0008164586392675,0.0001641465532037,0.0017413211421668,0.988006921949614,7.55481640150461e-05,0.0002924954642006,0.8935933936157656,0.0008424888983922,0.0001327247298136,0.5607341362420345,0.0061713830879982,0.9474027851531874,0.0347299284428997,0.034722888829228
0.0008191067855567,0.0002100507841911,0.0020745012446536,0.988006921949614,7.55481640150461e-05,0.0002924954642006,0.8971073540210137,0.0008532753752314,0.0001327247298136,0.6507302606777169,0.0061713830879982,0.9291921284865396,0.0347299284428997,0.034722888829228
